# SCOPE: AOD parish workbook index; captured 2026-07-19 from https://restructuring.aod.org/parish-workbooks (in-browser); FY24/25 workbooks published from 2026-03-04; one row per parish PDF at https://aod.filecamp.com/s/i/<id>
parish,filecamp_id
"Cathedral of the Most Blessed Sacrament, Detroit",ZRwM4yqotyDQ7n67
"Christ the King Parish, Detroit",xVN6RjxFn1GZnHdT
"Corpus Christi Parish, Detroit",kesnH60zCMLJaT2a
"Gesu Parish, Detroit",jZwDUTLDVrdntWe7
"Presentation/Our Lady of Victory Parish, Detroit",tKNLR86gHPHQzUx3
"SS. Peter and Paul (Jesuit) Parish, Detroit",KzT645j5tFrIQJoM
"SS. Peter and Paul (Westside-Polish) Parish, Detroit",OavRRrki0uFsiL0c
"St. Charles Lwanga Church, Detroit",z1W0aQ2lsB6KN0xZ
"St. Mary of Redford Parish, Detroit",xPdvE7vSuinQqAPg
"St. Moses the Black Parish, Detroit",FqijEfWPbKeskWUV
"St. Peter Claver Parish, Detroit",vKPEWM5TzRCRv27I
"St. Scholastica Parish, Detroit",TOH2wqdDAcxN40lm
"St. Suzanne-Our Lady Gate of Heaven Parish, Detroit",tob9u1490C4LYgWj
"Basilica of Ste. Anne, Detroit",X1Lin63J1iwjlSun
"Holy Cross (Hungarian) Parish, Detroit",oUaTCXap7dUJ6ptb
"Holy Redeemer Parish, Detroit",SaSccznE72CMLjhb
"Most Holy Trinity Parish, Detroit",gV1u1VXdgJasBIkK
"Our Lady of Guadalupe Parish, Detroit",MRVsHMvCrQokFLMY
"St. Cunegunda Parish, Detroit",lCXgqPWWilUCyWJ0
"St. Francis D'Assisi-St. Hedwig Parish, Detroit",hooBSI4L800SOlBU
"St. Gabriel Parish, Detroit",qVVVw5b3EZOXW4Rp
"St. Juan Diego Parish, Detroit",EKW31JDlAhgJUzOn
"Assumption of the Blessed Virgin Mary (Grotto) Parish, Detroit",fxdUlkf9Unn0pUYp
"Holy Family (Italian) Parish, Detroit",2XJCUECAfKCINTHP
"Mother of Divine Mercy Parish, Detroit",RN069YSgqs9MwPIO
"Nativity of Our Lord Parish, Detroit",mjpKeH0avxIzQ78B
"Our Lady Queen of Apostles Parish, Hamtramck",BxiSykUoDyUfYYYU
"Our Lady Queen of Heaven-Good Shepherd Church, Detroit",VGmhspHAgy98P6Ls
"Sacred Heart Parish, Detroit",JI9K9LQFC3hEKnCp
"St. Aloysius Parish, Detroit",nCqEYL6QaxmfTUK6
"St. Augustine and St. Monica Parish, Detroit",V8TMPXUjCwJkTzYb
