# SCOPE: Archdiocese of Detroit FY24/25 parish workbooks, all 209 parishes. Source: https://restructuring.aod.org/parish-workbooks (filecamp PDFs, published from 2026-03-04). Facts are the AOD's, cited as the AOD's; this compilation CC BY-NC 4.0. Extracted 2026-07-21. Figures FY24/25 unless noted; blanks = not stated in that workbook.
parish,city,planning_area,weekly_mass_attendance,seats_capacity,capacity_utilization_pct,registered_households,baptisms_2024,first_communions_2024,confirmations_2024,marriages_2024,funerals_2024,total_revenue_fy2425,total_expenses_fy2425,net_income_fy2425,unrestricted_savings,cash,endowments,donor_restricted,payable_loans,priests_assigned,savings_per_weekly_attendee,confidence,workbook_url
"Assumption of the Blessed Virgin Mary (Grotto) Parish, Detroit",Detroit,3,556,1200,15,738,10,12,0,4,26,924694,804075,120619,619412,276203,0,0,0,,1114,clean,https://aod.filecamp.com/s/i/fxdUlkf9Unn0pUYp
"Basilica of Ste. Anne, Detroit",,,738,1100,34,505,55,45,45,45,21,2019455,1260063,759392,517744,666393,,,,,702,partial,https://aod.filecamp.com/s/i/X1Lin63J1iwjlSun
"Cathedral of the Most Blessed Sacrament, Detroit",Detroit,1,243,850,29,231,22,7,17,88,9,1162618,1182151,-19533,443378,443378,1251895,149393,0,,1825,partial,https://aod.filecamp.com/s/i/ZRwM4yqotyDQ7n67
"Christ Our Light Parish, Troy",Troy,9,1403,420,84,1082,47,25,11,11,36,1572844,1450305,122540,1980231,,0,0,0,,1411,clean,https://aod.filecamp.com/s/i/ehLQAWTCdppIjXUD
"Christ the Good Shepherd Parish, Lincoln Park",Lincoln Park,4,557,780,24,789,6,31,32,2,29,2031012,1566990,464021,,93218,,,0,,,partial,https://aod.filecamp.com/s/i/88LcYUX0pvzVyMYu
"Christ the King Parish, Detroit",,,,400,,325,12,11,7,1,5,1124810,1397953,-273143,,276146,0,0,0,,,partial,https://aod.filecamp.com/s/i/xVN6RjxFn1GZnHdT
"Christ the Redeemer Parish, Lake Orion",,,1068,1000,36,2050,41,64,56,8,30,1401947,1143857,258090,1346973,90681,0,0,0,,1261,clean,https://aod.filecamp.com/s/i/xv8XZ09c5a2qOLBO
"Church of the Holy Spirit Parish, Highland",,,455,358,42,,13,11,9,3,20,741775,1198587,-456813,393842,55168,,109583,0,,866,clean,https://aod.filecamp.com/s/i/BSAsz3qFQuP1lq18
"Corpus Christi Parish, Detroit",,,309,500,21,659,9,7,3,1,3,990726,981348,9378,828074,887757,658145,0,0,,2680,partial,https://aod.filecamp.com/s/i/kesnH60zCMLJaT2a
"Divine Child Parish, Dearborn",Dearborn,6,1284,1500,21,2222,64,63,77,21,33,15923850,15578489,345361,11720377,2628406,767195,696208,0,,9128,clean,https://aod.filecamp.com/s/i/EFCjTp3MUt37Pg4F
"Divine Grace Parish, Carleton",,,503,500,34,544,16,18,10,6,15,1901142,1722088,179054,382116,1689947,,199289,0,,760,partial,https://aod.filecamp.com/s/i/7ekrl7F5SabYhO9Q
"Divine Providence (Lithuanian) Parish, Southfield",Southfield,8,144,300,48,235,3,8,6,1,8,260080,311994,-51914,1003475,1005844,,15237,0,,6969,clean,https://aod.filecamp.com/s/i/Cz1cVR5GPmBIEMgf
"Gesu Parish, Detroit",Detroit,1,380,520,24,,23,6,6,3,22,2817868,2805859,12009,1248826,136667,0,0,0,,3286,clean,https://aod.filecamp.com/s/i/jZwDUTLDVrdntWe7
"Guardian Angels Parish, Clawson",,,1074,600,60,1362,59,45,34,9,55,3203150,3216691,-13541,1278147,1356997,,0,0,,1190,partial,https://aod.filecamp.com/s/i/JtdwzItkkf63dNUo
"Holy Cross (Hungarian) Parish, Detroit",Detroit,2,283,450,21,,6,3,3,4,6,385360,308627,76733,777752,680172,0,0,0,,2748,partial,https://aod.filecamp.com/s/i/oUaTCXap7dUJ6ptb
"Holy Family (Italian) Parish, Detroit",,,175,300,29,,20,0,5,16,1,158556,174097,-15540,251266,,0,0,0,,1436,partial,https://aod.filecamp.com/s/i/2XJCUECAfKCINTHP
"Holy Family Parish, Memphis",Memphis,14,566,497,38,,9,16,8,2,19,626153,524770,101383,657618,120688,,118276,0,,1162,partial,https://aod.filecamp.com/s/i/mk1eA7DVNUvHWz7H
"Holy Family Parish, Novi",Novi,8,1289,861,30,2021,36,73,60,10,28,2105426,1806911,298514,,1073384,0,0,0,,,partial,https://aod.filecamp.com/s/i/luORTUzW20Lfvr1l
"Holy Innocents-St. Barnabas Parish, Roseville",,,322,425,25,351,11,2,4,0,41,476198,435255,40942,455812,455812,,0,0,,1416,clean,https://aod.filecamp.com/s/i/CnNeiaHHRB6tGv2P
"Holy Name Parish, Birmingham",,,1190,750,40,2516,115,88,80,19,48,5713566,6090255,-376689,3293659,261374,449321,222421,0,,2768,partial,https://aod.filecamp.com/s/i/lQKwLgJYgiboj7u0
"Holy Redeemer Parish, Detroit",,,2128,1400,38,2056,82,169,177,7,28,2969401,2601847,367554,3899516,3107978,,0,576835,,1832,clean,https://aod.filecamp.com/s/i/SaSccznE72CMLjhb
"Holy Trinity Parish, Port Huron",Port Huron,14,681,600,38,970,11,21,13,9,49,1110473,1196647,-86175,1216280,,,50123,0,,1786,partial,https://aod.filecamp.com/s/i/hl3GB8jaVxAysHHP
"Immaculate Conception Parish, Ira Township",,,787,365,54,,18,33,39,6,28,2799644,2550036,249608,1415044,143648,,122262,0,,1798,clean,https://aod.filecamp.com/s/i/2vt290jttw1cwlcD
"Immaculate Conception Parish, Lapeer",,,736,425,43,1854,44,27,30,10,28,1061436,804733,256703,1925250,1324172,,0,0,,2616,clean,https://aod.filecamp.com/s/i/QbpIlPxklOXJPene
"Most Holy Trinity Parish, Detroit",Detroit,2,249,700,18,,3,4,0,5,5,2389411,1846552,542859,456348,1248709,411202,0,0,,1833,partial,https://aod.filecamp.com/s/i/gV1u1VXdgJasBIkK
"Mother of Divine Mercy Parish, Detroit",Detroit,3,481,1800,13,,25,3,4,88,12,1395079,1687930,-292850,670886,,,1459816,0,,1395,partial,https://aod.filecamp.com/s/i/RN069YSgqs9MwPIO
"National Shrine of the Little Flower Basilica, Royal Oak",Royal Oak,9,2034,2000,17,,125,82,117,31,52,12411491,11412782,998708,5127698,,335985,1649821,0,,2521,partial,https://aod.filecamp.com/s/i/D8H7A0uj8pxcERhy
"Nativity of Our Lord Parish, Detroit",Detroit,3,124,596,21,,2,0,1,3,7,477624,354532,123092,637697,,2507883,0,0,,5143,clean,https://aod.filecamp.com/s/i/mjpKeH0avxIzQ78B
"Our Lady of Albanians Parish, Southfield",,,507,600,21,,55,32,40,29,9,195972,179586,16386,656294,,0,0,0,,1294,partial,https://aod.filecamp.com/s/i/r98H3u9pgN0FzYd4
"Our Lady of Czestochowa (Polish) Parish, Sterling Heights",Sterling Heights,13,,500,,1432,11,27,25,0,22,633944,756569,-122625,,,0,0,,,,clean,https://aod.filecamp.com/s/i/xufaO8GA91Oz1trP
"Our Lady of Good Counsel Parish, Plymouth",,,2598,1500,35,3409,93,96,78,32,53,7816756,7075841,740915,5100995,,,309398,836832,,1963,clean,https://aod.filecamp.com/s/i/rQfHWBlwgpXx1t1j
"Our Lady of Grace (Vietnamese) Parish, Warren",Warren,12,450,400,38,436,35,14,12,3,13,0,0,0,0,0,,,0,,0,partial,https://aod.filecamp.com/s/i/OcEbwOYB50lNSJHZ
"Our Lady of Guadalupe Parish, Detroit",Detroit,2,2043,1500,34,,64,46,47,10,3,1077278,829180,248098,,1155977,,53636,0,,,partial,https://aod.filecamp.com/s/i/MRVsHMvCrQokFLMY
"Our Lady of Hope Parish, St. Clair Shores",,,369,450,41,1098,15,40,3,1,22,653063,657293,-4230,58060,57899,,0,10170,,157,clean,https://aod.filecamp.com/s/i/bprRa5tBKjMJSdGs
"Our Lady of La Salette Parish, Berkley",Berkley,9,220,950,12,657,12,0,1,1,21,538095,834946,-296851,821561,,,10597,0,,3734,clean,https://aod.filecamp.com/s/i/wRgICw98YX0Kx8jF
"Our Lady of Loretto Parish, Redford",,,329,445,37,381,4,1,5,0,34,711189,789495,-78306,932292,137486,,,0,,2834,clean,https://aod.filecamp.com/s/i/Hf8ablkQDEJ6pgGO
"Our Lady of Mount Carmel Parish, Emmett",,,457,525,44,404,6,10,12,4,27,637525,598228,39297,1049001,118095,0,0,0,,2295,clean,https://aod.filecamp.com/s/i/HUyPWEHQuJUiqMQm
"Our Lady of Mount Carmel Parish, Temperance",Temperance,5,598,675,30,,22,17,23,1,30,744403,604795,139608,1032810,218627,68451,0,0,,1727,clean,https://aod.filecamp.com/s/i/J3EDt6a0CIhSc852
"Our Lady of Refuge Parish, Orchard Lake",,,650,600,36,881,12,49,7,5,20,4163267,4205651,-42384,3433291,613662,183204,0,0,,5282,clean,https://aod.filecamp.com/s/i/JpQ2aAb8XvmZXvaZ
"Our Lady of Sorrows Parish, Farmington",,,1660,833,40,3192,70,108,45,13,72,8645789,8420592,225197,,3682285,,,0,,,clean,https://aod.filecamp.com/s/i/bcgv8mN9jEP034vz
"Our Lady of the Angels Parish, Taylor",Taylor,4,422,450,31,755,2,0,0,1,26,773150,676042,97108,1417023,110115,0,0,0,,3358,clean,https://aod.filecamp.com/s/i/V8qx1mQUTNtidn2p
"Our Lady of the Lakes Parish, Waterford",,,2206,800,55,2930,72,79,52,12,47,5656846,5422157,234690,3761649,989150,36044,-3053,0,,1705,clean,https://aod.filecamp.com/s/i/h818FOZ3us6Fon5c
"Our Lady of the Scapular Parish, Wyandotte",,,355,832,14,,9,7,4,14,38,1202189,890834,311355,,504948,0,0,41927,,,partial,https://aod.filecamp.com/s/i/71NzmwPzkkfLnLEq
"Our Lady of the Woods Parish, Woodhaven",,,940,865,36,,10,32,30,2,18,1075755,996703,79052,798430,147778,0,0,0,,849,clean,https://aod.filecamp.com/s/i/QuH46iagJTT8WSP2
"Our Lady of Victory Parish, Northville",,,2643,770,86,2688,107,109,96,23,70,7690264,6574136,1116128,7031680,343958,0,0,0,,2660,partial,https://aod.filecamp.com/s/i/gmp4YcNCSSPV6GYO
