GEOID,county_state,Diocese,Diocese_Detail,Province
36039,"Greene County, New York",Albany,Albany,New York
36025,"Delaware County, New York",Albany,Albany,New York
36091,"Saratoga County, New York",Albany,Albany,New York
36001,"Albany County, New York",Albany,Albany,New York
36043,"Herkimer County, New York",Albany,"Albany, Ogdensburg",New York
36115,"Washington County, New York",Albany,Albany,New York
36021,"Columbia County, New York",Albany,Albany,New York
36093,"Schenectady County, New York",Albany,Albany,New York
36095,"Schoharie County, New York",Albany,Albany,New York
36113,"Warren County, New York",Albany,Albany,New York
36077,"Otsego County, New York",Albany,Albany,New York
36057,"Montgomery County, New York",Albany,Albany,New York
36083,"Rensselaer County, New York",Albany,Albany,New York
36035,"Fulton County, New York",Albany,Albany,New York
22059,"LaSalle Parish, Louisiana",Alexandria,Alexandria,New Orleans
22043,"Grant Parish, Louisiana",Alexandria,Alexandria,New Orleans
22115,"Vernon Parish, Louisiana",Alexandria,Alexandria,New Orleans
22107,"Tensas Parish, Louisiana",Alexandria,Alexandria,New Orleans
22025,"Catahoula Parish, Louisiana",Alexandria,Alexandria,New Orleans
22021,"Caldwell Parish, Louisiana",Alexandria,Alexandria,New Orleans
22065,"Madison Parish, Louisiana",Alexandria,Alexandria,New Orleans
22069,"Natchitoches Parish, Louisiana",Alexandria,Alexandria,New Orleans
22079,"Rapides Parish, Louisiana",Alexandria,Alexandria,New Orleans
22127,"Winn Parish, Louisiana",Alexandria,Alexandria,New Orleans
22009,"Avoyelles Parish, Louisiana",Alexandria,Alexandria,New Orleans
22029,"Concordia Parish, Louisiana",Alexandria,Alexandria,New Orleans
22041,"Franklin Parish, Louisiana",Alexandria,Alexandria,New Orleans
42095,"Northampton County, Pennsylvania",Allentown,Allentown,Philadelphia
42107,"Schuylkill County, Pennsylvania",Allentown,Allentown,Philadelphia
42025,"Carbon County, Pennsylvania",Allentown,Allentown,Philadelphia
42077,"Lehigh County, Pennsylvania",Allentown,Allentown,Philadelphia
42011,"Berks County, Pennsylvania",Allentown,Allentown,Philadelphia
42013,"Blair County, Pennsylvania",Altoona-Johnstown,Altoona-Johnstown,Philadelphia
42035,"Clinton County, Pennsylvania",Altoona-Johnstown,Altoona-Johnstown,Philadelphia
42021,"Cambria County, Pennsylvania",Altoona-Johnstown,Altoona-Johnstown,Philadelphia
42057,"Fulton County, Pennsylvania",Altoona-Johnstown,Altoona-Johnstown,Philadelphia
42061,"Huntingdon County, Pennsylvania",Altoona-Johnstown,Altoona-Johnstown,Philadelphia
42027,"Centre County, Pennsylvania",Altoona-Johnstown,Altoona-Johnstown,Philadelphia
42111,"Somerset County, Pennsylvania",Altoona-Johnstown,Altoona-Johnstown,Philadelphia
42009,"Bedford County, Pennsylvania",Altoona-Johnstown,Altoona-Johnstown,Philadelphia
48359,"Oldham County, Texas",Amarillo,Amarillo,San Antonio
48211,"Hemphill County, Texas",Amarillo,Amarillo,San Antonio
48191,"Hall County, Texas",Amarillo,Amarillo,San Antonio
48437,"Swisher County, Texas",Amarillo,Amarillo,San Antonio
48393,"Roberts County, Texas",Amarillo,Amarillo,San Antonio
48011,"Armstrong County, Texas",Amarillo,Amarillo,San Antonio
48117,"Deaf Smith County, Texas",Amarillo,Amarillo,San Antonio
48375,"Potter County, Texas",Amarillo,Amarillo,San Antonio
48069,"Castro County, Texas",Amarillo,Amarillo,San Antonio
48111,"Dallam County, Texas",Amarillo,Amarillo,San Antonio
48341,"Moore County, Texas",Amarillo,Amarillo,San Antonio
48129,"Donley County, Texas",Amarillo,Amarillo,San Antonio
48065,"Carson County, Texas",Amarillo,Amarillo,San Antonio
48483,"Wheeler County, Texas",Amarillo,Amarillo,San Antonio
48421,"Sherman County, Texas",Amarillo,Amarillo,San Antonio
48369,"Parmer County, Texas",Amarillo,Amarillo,San Antonio
48075,"Childress County, Texas",Amarillo,Amarillo,San Antonio
48295,"Lipscomb County, Texas",Amarillo,Amarillo,San Antonio
48087,"Collingsworth County, Texas",Amarillo,Amarillo,San Antonio
48179,"Gray County, Texas",Amarillo,Amarillo,San Antonio
48195,"Hansford County, Texas",Amarillo,Amarillo,San Antonio
48357,"Ochiltree County, Texas",Amarillo,Amarillo,San Antonio
48045,"Briscoe County, Texas",Amarillo,Amarillo,San Antonio
48205,"Hartley County, Texas",Amarillo,Amarillo,San Antonio
48233,"Hutchinson County, Texas",Amarillo,Amarillo,San Antonio
48381,"Randall County, Texas",Amarillo,Amarillo,San Antonio
02198,"Prince of Wales-Hyder Census Area, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02164,"Lake and Peninsula Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02013,"Aleutians East Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02066,"Copper River Census Area, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02282,"Yakutat City and Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02122,"Kenai Peninsula Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02060,"Bristol Bay Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02063,"Chugach Census Area, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02220,"Sitka City and Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02100,"Haines Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02130,"Ketchikan Gateway Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02170,"Matanuska-Susitna Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02230,"Skagway Municipality, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02016,"Aleutians West Census Area, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02150,"Kodiak Island Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02070,"Dillingham Census Area, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02020,"Anchorage Municipality, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02110,"Juneau City and Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02105,"Hoonah-Angoon Census Area, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02275,"Wrangell City and Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
02195,"Petersburg Borough, Alaska",Anchorage-Juneau,Anchorage-Juneau,Anchorage-Juneau
51107,"Loudoun County, Virginia",Arlington,Arlington,Baltimore
51153,"Prince William County, Virginia",Arlington,Arlington,Baltimore
51137,"Orange County, Virginia",Arlington,Arlington,Baltimore
51630,"Fredericksburg city, Virginia",Arlington,Arlington,Baltimore
51133,"Northumberland County, Virginia",Arlington,Arlington,Baltimore
51061,"Fauquier County, Virginia",Arlington,Arlington,Baltimore
51103,"Lancaster County, Virginia",Arlington,Arlington,Baltimore
51187,"Warren County, Virginia",Arlington,Arlington,Baltimore
51179,"Stafford County, Virginia",Arlington,Arlington,Baltimore
51113,"Madison County, Virginia",Arlington,Arlington,Baltimore
51840,"Winchester city, Virginia",Arlington,Arlington,Baltimore
51159,"Richmond County, Virginia",Arlington,Arlington,Baltimore
51059,"Fairfax County, Virginia",Arlington,Arlington,Baltimore
51177,"Spotsylvania County, Virginia",Arlington,Arlington,Baltimore
51047,"Culpeper County, Virginia",Arlington,Arlington,Baltimore
51043,"Clarke County, Virginia",Arlington,Arlington,Baltimore
51069,"Frederick County, Virginia",Arlington,Arlington,Baltimore
51193,"Westmoreland County, Virginia",Arlington,Arlington,Baltimore
51171,"Shenandoah County, Virginia",Arlington,Arlington,Baltimore
51099,"King George County, Virginia",Arlington,Arlington,Baltimore
51013,"Arlington County, Virginia",Arlington,Arlington,Baltimore
51139,"Page County, Virginia",Arlington,Arlington,Baltimore
51510,"Alexandria city, Virginia",Arlington,Arlington,Baltimore
51685,"Manassas Park city, Virginia",Arlington,Arlington,Baltimore
51157,"Rappahannock County, Virginia",Arlington,Arlington,Baltimore
51610,"Falls Church city, Virginia",Arlington,Arlington,Baltimore
51683,"Manassas city, Virginia",Arlington,Arlington,Baltimore
51600,"Fairfax city, Virginia",Arlington,Arlington,Baltimore
13137,"Habersham County, Georgia",Atlanta,Atlanta,Atlanta
13085,"Dawson County, Georgia",Atlanta,Atlanta,Atlanta
13083,"Dade County, Georgia",Atlanta,Atlanta,Atlanta
13089,"DeKalb County, Georgia",Atlanta,Atlanta,Atlanta
13047,"Catoosa County, Georgia",Atlanta,Atlanta,Atlanta
13055,"Chattooga County, Georgia",Atlanta,Atlanta,Atlanta
13227,"Pickens County, Georgia",Atlanta,Atlanta,Atlanta
13013,"Barrow County, Georgia",Atlanta,Atlanta,Atlanta
13219,"Oconee County, Georgia",Atlanta,Atlanta,Atlanta
13015,"Bartow County, Georgia",Atlanta,Atlanta,Atlanta
13113,"Fayette County, Georgia",Atlanta,Atlanta,Atlanta
13195,"Madison County, Georgia",Atlanta,Atlanta,Atlanta
13111,"Fannin County, Georgia",Atlanta,Atlanta,Atlanta
13213,"Murray County, Georgia",Atlanta,Atlanta,Atlanta
13045,"Carroll County, Georgia",Atlanta,Atlanta,Atlanta
13105,"Elbert County, Georgia",Atlanta,Atlanta,Atlanta
13313,"Whitfield County, Georgia",Atlanta,Atlanta,Atlanta
13187,"Lumpkin County, Georgia",Atlanta,Atlanta,Atlanta
13035,"Butts County, Georgia",Atlanta,Atlanta,Atlanta
13141,"Hancock County, Georgia",Atlanta,Atlanta,Atlanta
13281,"Towns County, Georgia",Atlanta,Atlanta,Atlanta
13159,"Jasper County, Georgia",Atlanta,Atlanta,Atlanta
13189,"McDuffie County, Georgia",Atlanta,Atlanta,Atlanta
13311,"White County, Georgia",Atlanta,Atlanta,Atlanta
13291,"Union County, Georgia",Atlanta,Atlanta,Atlanta
13257,"Stephens County, Georgia",Atlanta,Atlanta,Atlanta
13317,"Wilkes County, Georgia",Atlanta,Atlanta,Atlanta
13135,"Gwinnett County, Georgia",Atlanta,Atlanta,Atlanta
13057,"Cherokee County, Georgia",Atlanta,Atlanta,Atlanta
13157,"Jackson County, Georgia",Atlanta,Atlanta,Atlanta
13143,"Haralson County, Georgia",Atlanta,Atlanta,Atlanta
13077,"Coweta County, Georgia",Atlanta,Atlanta,Atlanta
13265,"Taliaferro County, Georgia",Atlanta,Atlanta,Atlanta
13255,"Spalding County, Georgia",Atlanta,Atlanta,Atlanta
13119,"Franklin County, Georgia",Atlanta,Atlanta,Atlanta
13181,"Lincoln County, Georgia",Atlanta,Atlanta,Atlanta
13097,"Douglas County, Georgia",Atlanta,Atlanta,Atlanta
13221,"Oglethorpe County, Georgia",Atlanta,Atlanta,Atlanta
13059,"Clarke County, Georgia",Atlanta,Atlanta,Atlanta
13011,"Banks County, Georgia",Atlanta,Atlanta,Atlanta
13121,"Fulton County, Georgia",Atlanta,Atlanta,Atlanta
13009,"Baldwin County, Georgia",Atlanta,Atlanta,Atlanta
13123,"Gilmer County, Georgia",Atlanta,Atlanta,Atlanta
13147,"Hart County, Georgia",Atlanta,Atlanta,Atlanta
13231,"Pike County, Georgia",Atlanta,Atlanta,Atlanta
13301,"Warren County, Georgia",Atlanta,Atlanta,Atlanta
13149,"Heard County, Georgia",Atlanta,Atlanta,Atlanta
13241,"Rabun County, Georgia",Atlanta,Atlanta,Atlanta
13199,"Meriwether County, Georgia",Atlanta,Atlanta,Atlanta
13247,"Rockdale County, Georgia",Atlanta,Atlanta,Atlanta
13293,"Upson County, Georgia",Atlanta,Atlanta,Atlanta
13217,"Newton County, Georgia",Atlanta,Atlanta,Atlanta
13223,"Paulding County, Georgia",Atlanta,Atlanta,Atlanta
13171,"Lamar County, Georgia",Atlanta,Atlanta,Atlanta
13285,"Troup County, Georgia",Atlanta,Atlanta,Atlanta
13297,"Walton County, Georgia",Atlanta,Atlanta,Atlanta
13233,"Polk County, Georgia",Atlanta,Atlanta,Atlanta
13115,"Floyd County, Georgia",Atlanta,Atlanta,Atlanta
13211,"Morgan County, Georgia",Atlanta,Atlanta,Atlanta
13129,"Gordon County, Georgia",Atlanta,Atlanta,Atlanta
13237,"Putnam County, Georgia",Atlanta,Atlanta,Atlanta
13151,"Henry County, Georgia",Atlanta,Atlanta,Atlanta
13117,"Forsyth County, Georgia",Atlanta,Atlanta,Atlanta
13295,"Walker County, Georgia",Atlanta,Atlanta,Atlanta
13067,"Cobb County, Georgia",Atlanta,Atlanta,Atlanta
13139,"Hall County, Georgia",Atlanta,Atlanta,Atlanta
13133,"Greene County, Georgia",Atlanta,Atlanta,Atlanta
13063,"Clayton County, Georgia",Atlanta,Atlanta,Atlanta
