# scope: final; corpus: Draugas 1909-2007; generated: 2026-07-19; lane: draugas-parish-registry-1909-2007; gazetteer config-as-truth; +county,+geo_disambiguator (additive); NOT a unified-build ingest input
parish_key,country,city,state,titular_lt,titular_en_key,city_stems,titular_stems,c83_row,cand_idx,status,founded,closed,source,notes,county,geo_disambiguator
st-casimir-gary-in,US,Gary,IN,Šv. Kazimiero,st. casimir,gary,kazimier,1,111,closed,1918,1998,canonical-83,founded from cand-137,,
st-ann-spring-valley-il,US,Spring Valley,IL,Šv. Onos,st. ann,spring valley,onos,2,107,closed,1895,,canonical-83,,Bureau,
st-george-chicago-il,US,Chicago,IL,Šv. Jurgio,st. george,chicago|cikag|chicagos|chicagoj,jurgi,3,87,demolished,1892,,canonical-83,,,
st-michael-north-chicago-il,US,North Chicago,IL,Šv. Mykolo,st. michael,north chicago,mykol|mikol,4,,demolished,,,canonical-83,,Lake,
our-lady-of-vilna-chicago-il,US,Chicago,IL,Aušros Vartų,our lady of vilna,chicago|cikag|chicagos|chicagoj,ausros|auszros|vartu,5,90,closed,1906,,canonical-83,founded from cand-137,,
st-casimir-chicago-il,US,Chicago,IL,Šv. Kazimiero,st. casimir,chicago|cikag|chicagos|chicagoj,kazimier,6,,closed,,,canonical-83,,,
st-joseph-chicago-il,US,Chicago,IL,Šv. Juozapo,st. joseph,chicago|cikag|chicagos|chicagoj,juozap,7,95,closed,1900,1987,canonical-83,,,
providence-of-god-chicago-il,US,Chicago,IL,Dievo Apvaizdos,providence of god,chicago|cikag|chicagos|chicagoj,apvaizd,8,89,closed,1900,2016,canonical-83,,,
holy-cross-chicago-il,US,Chicago,IL,Šv. Kryžiaus,holy cross,chicago|cikag|chicagos|chicagoj,kryzi,9,88,merged,1904,2020,canonical-83,,,
st-constantine-oglesby-il,US,Oglesby,IL,Šv. Konstantino,st. constantine,oglesby,konstantin,10,108,closed,1919,1953,canonical-83,founded from cand-137,LaSalle,
st-francis-east-chicago-in,US,East Chicago,IN,Šv. Pranciškaus,st. francis,east chicago,prancisk|pranciszk,11,112,demolished,1913,1989,canonical-83,founded from cand-137,,
st-casimir-sioux-city-ia,US,Sioux City,IA,Šv. Kazimiero,st. casimir,sioux city,kazimier,12,133,demolished,1915,1998,canonical-83,founded from cand-137,Woodbury,
st-casimir-kansas-city-mo,US,Kansas City,MO,Šv. Kazimiero,st. casimir,kansas city,kazimier,13,,closed,,1947,canonical-83,,Jackson,
st-casimir-brockton-ma,US,Brockton,MA,Šv. Kazimiero,st. casimir,brockton,kazimier,14,49,closed,1898,2008,canonical-83,,,
st-peter-cambridge-ma,US,Cambridge,MA,Šv. Petro,st. peter,cambridge,petro,15,,closed,1909,,canonical-83,,,
st-francis-lawrence-ma,US,Lawrence,MA,Šv. Pranciškaus,st. francis,lawrence,prancisk|pranciszk,16,52,closed,1906,2002,canonical-83,founded from cand-137,,
lithuanian-church-haverhill-ma,US,Haverhill,MA,Lietuvių bažnyčia (unnamed),lithuanian church,haverhill,,17,55,demolished,1910,,canonical-83,founded from cand-137,,
st-george-norwood-ma,US,Norwood,MA,Šv. Jurgio,st. george,norwood,jurgi,18,48,closed,1918,,canonical-83,founded from cand-137,,
st-casimir-worcester-ma,US,Worcester,MA,Šv. Kazimiero,st. casimir,worcester,kazimier,19,50,closed,1898,2008,canonical-83,,,
our-lady-of-vilna-worcester-ma,US,Worcester,MA,Aušros Vartų,our lady of vilna,worcester,ausros|auszros|vartu,20,51,closed,1925,,canonical-83,founded from cand-137,,
our-lady-of-vilna-manhattan-ny,US,Manhattan,NY,Aušros Vartų,our lady of vilna,manhattan,ausros|auszros|vartu,21,68,demolished,1910,,canonical-83,,New York,New York City borough
st-george-rochester-ny,US,Rochester,NY,Šv. Jurgio,st. george,rochester,jurgi,22,73,closed,1908,,canonical-83,,Monroe,
st-george-brooklyn-ny,US,Brooklyn,NY,Šv. Jurgio,st. george,brooklyn|bruklin,jurgi,23,71,demolished,1909,2008,canonical-83,founded from cand-137,Kings,New York City borough
st-george-niagara-falls-ny,US,Niagara Falls,NY,Šv. Jurgio,st. george,niagara falls,jurgi,24,74,closed,1928,,canonical-83,founded from cand-137,Niagara,
st-casimir-amsterdam-ny,US,Amsterdam,NY,Šv. Kazimiero,st. casimir,amsterdam,kazimier,25,75,closed,1904,2009,canonical-83,,Montgomery,
st-michael-bayonne-nj,US,Bayonne,NJ,Šv. Mykolo,st. michael,bayonne,mykol|mikol,26,84,closed,,,canonical-83,,,
lithuanian-church-newark-nj,US,Newark,NJ,Lietuvių bažnyčia (unnamed),lithuanian church,newark|niuark,,27,,demolished,,1981,canonical-83,,,
st-casimir-paterson-nj,US,Paterson,NJ,Šv. Kazimiero,st. casimir,paterson,kazimier,28,83,closed,1912,2014,canonical-83,,,
st-andrew-new-britain-ct,US,New Britain,CT,Šv. Andriejaus,st. andrew,new britain,andriej,29,61,closed,1911,2021,canonical-83,founded from cand-137,Hartford,
st-casimir-new-haven-ct,US,New Haven,CT,Šv. Kazimiero,st. casimir,new haven,kazimier,30,63,closed,1909,,canonical-83,,,
lithuanian-church-ansonia-ct,US,Ansonia,CT,Lietuvių bažnyčia (unnamed),lithuanian church,ansonia,,31,,closed,,,canonical-83,,New Haven,
st-joseph-waterbury-ct,US,Waterbury,CT,Šv. Juozapo,st. joseph,waterbury|vaterbur,juozap,32,58,closed,1893,2023,canonical-83,,New Haven,
st-casimir-nashua-nh,US,Nashua,NH,Šv. Kazimiero,st. casimir,nashua,kazimier,33,67,closed,1909,,canonical-83,founded from cand-137,Hillsborough,
st-anthony-detroit-mi,US,Detroit,MI,Šv. Antano,st. anthony,detroit,antan,34,119,closed,1920,2013,canonical-83,,,
st-peter-detroit-mi,US,Detroit,MI,Šv. Petro,st. peter,detroit,petro,35,120,closed,1921,1995,canonical-83,founded from cand-137,,
st-anthony-omaha-ne,US,Omaha,NE,Šv. Antano,st. anthony,omaha,antan,36,132,closed,1907,2014,canonical-83,,Douglas,
st-george-cleveland-oh,US,Cleveland,OH,Šv. Jurgio,st. george,cleveland|klivland|klyvlend,jurgi,37,113,merged,1895,2009,canonical-83,,,
our-lady-of-perpetual-help-cleveland-oh,US,Cleveland,OH,Dievo Motinos Nuolatinės Pagalbos,our lady of perpetual help,cleveland|klivland|klyvlend,pagalbos|nuolatin,38,114,merged,1929,2009,canonical-83,,,
st-george-shenandoah-pa,US,Shenandoah,PA,Šv. Jurgio,st. george,shenandoah|senando|shenando|senadoriu,jurgi,39,0,demolished,1891,,canonical-83,,Schuylkill,
st-casimir-pittston-pa,US,Pittston,PA,Šv. Kazimiero,st. casimir,pittston,kazimier,40,20,merged,1890,2008,canonical-83,,Luzerne,
